sentence,label,dataset
一百多和三十的也看不出什么区别，包装精美，质量应该不错。,1,jd
质量很好 料子很不错 做工细致 样式好看 穿着很漂亮,1,jd
 会卷的    建议买大的小的会卷   胖就别买了       没用,0,jd
大差了  布料很差  我也不想多说,0,jd
一点也不好，我买的东西拿都拿到快递员自己签收了还不给我，恶心恶心恶心，不要脸不要脸,0,jd
不错的传统小吃，赞赞赞。,1,jd
香气跟以前的不一样，不知道是不是假的，以前的香气很好闻。,0,jd
今天刚刚拿到书，这本:..古典1.古典写的拆掉思维里的墙很不错，关于古典&mdash;&mdash;你叫什么&mdash;&mdash;我叫古典。&mdash;&mdash;古典我说真名。&mdash;&mdash;我真名就叫古典。&mdash;&mdash;真的&mdash;&mdash;真的！徐小平这样称赞古典古典的名字，有点像小平同志我老人家的名字，听了他的大号，大家都会过耳不忘。古典是一个具有古典气质的美男子，外表好不算什么，但外表好，又能够表现得文静优雅、慈眉善目，他是古典。他曾经是北京新东方国外部托福、雅思、词汇速记首席讲师。听他的课，词汇与故事并进，激情与严谨共飞。一整天下来，学生形容是累并快乐着。他是新东方优秀老师，他是我一直关注、期待、鼓励、并希望看到其事业腾飞的朋友。拆掉思维的墙，这是一个非常好的概念多少寻梦者在一道看不见的陈旧观念、僵化思维的鬼打墙面前，踏破铁鞋，无功而返假如你疑似自己也是这样的人，你需要阅读拆掉思维里的墙（再版），拆掉思维的墙，打开梦想的窗，走出生命的困境，加速人生的巡航。俞敏洪说，新东方老师能够写出思想性和趣味性并存的著作的人凤毛麟角，古典算一个。毕淑敏这样说，有的书好玩，但看过之后你会忘记。有的书对你有帮助，但阅读之时饱含艰辛。这本书，你读的时候会充满兴趣，合卷之后会引发思考。特别对年轻人来说，拆掉思维里的墙（再版）中所阐释的观点和丰富的事例，我相信会在某一个点上触动心灵，甚至会改变你生命的轨迹。身心灵作家张德芬也非常喜欢这本书难得有一位故事说得好听、用浅显易懂的叙述来教导我们正确生活心态的本土作家。全球教练机构三强、埃里克森国际学院院长玛丽莲·阿特金森博士（）这样评价这本书古典理解人们是如何自我领导，如何建立强大的自我，如何找到自己的价值观与能力，以及如何把他们转化为智慧与积极的行动。在书中，他将带给你那些让你真正拥有力量的文字，这力量让你走上梦想之途。新一代人生设计大师古典倾情打造人生开窍手册心理学 职业规划 人生哲学。你是否缺少安全感你会经常觉得累结婚一定要买房吗你认为坚持就一定会成功你总忍不住与别人比较只有有钱才能够幸福老板可以掌控吗小人物就无法对抗不公平吗不喜欢现在的工作却又不知道自己该干什么对现在的生活不满意，但却因为父母、老婆或者孩子不得不这样过下去每天都在混日子，却幻想有一天找到自己真正喜欢的事业就一定会全心投入如果有一个回答是，那么这本书就是你想要的。也许，连我们自己也不曾意识到，那些困惑背后，往往藏着一堵堵思维里的墙，阻碍着我们，把我们与美好的生活隔开了。拆掉思维里的那些墙，你就可以获得成功、快乐、自信和幸福。从到&rsquo;，只须一点改变，你的人生也许就此大不相同。打动百万人的文字集锦一套房子消灭一个巴菲特不管你在中国的哪一个城市，只要你还准备结婚,1,jd
\n客服推荐的尺码合适，发货也很快，下次还会光顾的 \n,1,jd
一直用金蝶的财务产品非常棒,1,jd
太失望了，根本不值这个价,0,jd
信赖京东，赞，,1,jd
垃圾，一个星期就坏了，联系客服到现在都没人管。真心别买，我要说谎我王八,0,jd
咳咳咳咳咳咳咳咳咳咳别呵呵,1,jd
质量特别差买来第一天玩就烂了,0,jd
第一次给差评，鞋垫的胶凹凸不平，感觉不是正品,0,jd
差评，客服永远不在，四天后才发的货，衣服木有以前买的好，感觉设计比例有问题，挂肩太短勒人。,0,jd
哎呀很失败的一次网购，下单前和客服人员勾通简直东西无可挑剔，收到货并不是客服人员说的那样。真是伤心。,0,jd
用了很多年了，一直在药店买，这个感觉没有在药店买的好，药店用一次可以管五六天，这个只管三四天，实话实说。,0,jd
看了那么多牌子，还是觉得米高质量好，就是价钱也贵，年中大促还是划算,1,jd
非常好看，可以试试戴戴,1,jd
这本书觉得买错了，没有什么用处。,0,jd
这两件  还可以  不满意的是少送了一件   就是那个打底裤  哭死,0,jd
不粘，很好洗，也不烫手,1,jd
说是五包的既然只有四包，一点味道都没有,0,jd
比较简单，适合小朋友,1,jd
很好哦.................................,1,jd
写的还行，有调查研究,1,jd
茶壶工艺非常细致。质量特别好。一看就是正品货。原来还担心运输中破损。收到打开一看完好无缺,1,jd
客户真厉害?  上天了 有疑问就消失,0,jd
写起来顺手。不错,1,jd
太失望了，与想象中的超大区别！,0,jd
奥米加 维生素C泡腾片 VC饮品 4g*20片（新老包装随机发放） 好好红红火火恍恍惚惚  好不错,1,jd
值得购买，不错超给力,1,jd
太慢了，物流速度。。太让人失望了???,0,jd
买了茶壶，就也看了这款，一套下来价格实惠不说，使用的材质没得说，好。 满意,1,jd
